,Unnamed: 0,created_at,screen_name,text,slot,document_topic
328,329,2019-03-25 15:11:29,mollie_Apso1,    mycharlirown Best place to e on a day like today                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,107,10
329,330,2019-03-25 15:10:30,mollie_Apso1,    PFezzwig Snuggler                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,107,7
330,331,2019-03-25 15:10:12,mollie_Apso1,    RT PFezzwig Hello effryone was going out to help ma today ut Ive plumped for a midmorning cuddle efore we go Hope you all have the                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,107,7
331,332,2019-03-25 15:04:29,mollie_Apso1,    RT MajorLeagueMali Just landed in LA  It good to e home  Dodgers opening day in tminus three days losangeles dodgers dod                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,107,5
332,333,2019-03-25 15:03:42,mollie_Apso1,    KeithMaxwell sajidjavid theresa_may It does ut with too many constraints                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,107,2
333,334,2019-03-25 15:03:03,mollie_Apso1,    ertie_lakeland Coooooor youre looking most hondsome yourself                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,107,3
334,335,2019-03-25 14:49:58,mollie_Apso1,    RT Whoopi Mama left a plate of acon on the ottoman and I didnt touch it I got lots of praise for that CDNGuideDogs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,103,8
335,336,2019-03-25 14:45:01,mollie_Apso1,    VivianLamert Hi Viv and Walter                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,103,5
336,337,2019-03-25 14:44:34,mollie_Apso1,    Radar Best way to do it Radar                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,103,10
337,338,2019-03-25 14:43:43,mollie_Apso1,    RT AllotmentCat LottoGoodCauses GayLogan uniirmingham irmingham_live Good to see that GayLogan is encouraging locals to get in                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,103,10
338,339,2019-03-25 14:32:57,mollie_Apso1,    ertie_lakeland Good afternoon Bertie have a supaw day                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,103,5
339,340,2019-03-25 14:28:26,mollie_Apso1,    RT ArchieLakeland What a great way to start the day on my each  Have a fa week pals dogsoftwitter dogslife BestDogPhotos doga                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,92,5
340,341,2019-03-25 14:28:07,mollie_Apso1,    dandy_wire On me way Mr Dandy                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,92,5
341,342,2019-03-25 14:26:12,mollie_Apso1,    PeleTerrier Youll look splendid when its done although ill miss your punky topknot                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,92,4
342,343,2019-03-25 14:06:45,mollie_Apso1,    Velmajinkies Thankyou he is to us                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,92,7
343,344,2019-03-25 14:06:24,mollie_Apso1,    jacquistephens Yes as did so many                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,92,2
344,345,2019-03-25 14:05:36,mollie_Apso1,    AlfieCr No never                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,92,7
345,346,2019-03-25 14:05:20,mollie_Apso1,    CakeTowers Thanks Kate                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,92,2
346,347,2019-03-25 14:05:05,mollie_Apso1,    KayGreg Thanks Kay                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,92,2
347,348,2019-03-25 14:04:35,mollie_Apso1,    luna_rescue_dog Thanks Luna                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,92,2
348,349,2019-03-25 06:04:36,mollie_Apso1,    DulinIrishPup Paws xd alls ok                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,22,8
349,350,2019-03-25 06:01:40,mollie_Apso1,    DulinIrishPup  stay safe Dulin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,22,6
350,351,2019-03-25 05:10:00,mollie_Apso1,     years ago today PAs Great Uncle  Pvt Rowland Jordan ndth Btn Royal Leicestershire Regt made the ulti                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,9,1
351,352,2019-03-25 02:35:15,mollie_Apso1,    WheatenMaggie                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,198,7
352,353,2019-03-25 02:14:42,mollie_Apso1,    WheatenMaggie Great nosh wecallitswede                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,192,7
353,354,2019-03-25 02:13:19,mollie_Apso1,    RT WheatenMaggie Special supper with roasty chicken and carrot and turnip wecallitturnip chicken dogsoftwitter dogs scwt wheatent                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,192,5
354,355,2019-03-25 01:57:00,mollie_Apso1,    RT jcosrangerjason Current conditions on JeffcoTrails in Evergreen Colorado Visiility less than a quartermile with rapidly deteriorat                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,59,1
355,356,2019-03-25 00:32:18,mollie_Apso1,    Maggarooo                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,59,1
356,357,2019-03-25 00:29:21,mollie_Apso1,    Maggarooo Did you win                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,3,1
357,358,2019-03-25 00:16:03,mollie_Apso1,    WheatenMaggie PA used to love it when she cooked it                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,3,2
358,359,2019-03-25 20:57:57,mollie_Apso1,    WheatenMaggie It looks like what great granma used to call an Irish oil                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ,169,8
359,360,2019-03-25 12:20:32,mollie_Apso1,    Sweet dreamy eyes Monty                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,78,8
360,361,2019-03-25 12:21:22,mollie_Apso1,    Fanks pal Mum noticed it I didnt as was napping shes going to ed and hope no more it was odd Its the second time since Ive een orn yikes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,78,7
361,362,2019-03-25 09:21:56,mollie_Apso1,    If you ever need a hand Im always up for a squizzer attack                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,52,3
362,363,2019-03-25 10:11:14,mollie_Apso1,    For sure                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,65,8
363,364,2019-03-25 09:22:23,mollie_Apso1,    thats exactly what we need pal youll e good at it and we will protect you for sure                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,52,8
