created_at,screen_name,text
2019-03-25 03:51:30,alyssa_milano,A summary is not good enough. The American people and Congress must have all of the facts. #ReleaseTheFullReport
2019-03-25 03:52:05,alyssa_milano,Happy birthday to my wonderful sister Stephanie who turns 52 years old today!
2019-03-25 02:53:10,alyssa_milano,PS and also @Alyssa_Milano who is THE real deal. She uses her platform every day to speak truth to power & inspire young activists like my students.
2019-03-25 00:54:07,alyssa_milano,do you live here and use the water? Oh whats that...you don't. Then maybe you should consult with a Flint resident.
2019-03-25 02:55:40,alyssa_milano,popcorn ready.
2019-03-25 01:56:10,alyssa_milano,This is why Trump appointed Barr.
2019-03-25 01:54:15,alyssa_milano,"Hi, America. You have a house majority for a reason. Your vote matters. It’s called checks and balances. Let’s use them."
2019-03-25 23:49:29,estelledarlings,b'Can\xe2\x80\x99t let this happen. It\xe2\x80\x99s not up to him. https://t.co/p4QFfyaqyh'
2019-03-25 23:48:24,estelledarlings,b'RT @BigSean: more thoughts \xf0\x9f\x97\xa3\xf0\x9f\x97\xa3\xf0\x9f\x97\xa3 @Key_Wane @amairejohnson https://t.co/shLI3iymxl'
2019-03-25 23:47:01,estelledarlings,b'RT @_juliannkay: @crissles \xf0\x9f\x91\x88\xf0\x9f\x8f\xbdthis Black therapist will be practicing in the New York area this fall. Come get this healing y\xe2\x80\x99all \xe2\x9c\xa8'
2019-03-25 23:46:38,estelledarlings,b'I\xe2\x80\x99ve literally sent texts to men like \xe2\x80\x9c&gt
2019-03-25 23:44:53,estelledarlings,b'RT @bereolaesque: Between the Two of Us - @EstelleDarlings and I are back at it today and tomorrow with a dope relationship conversation fo\xe2\x80\xa6'
2019-03-25 21:10:48,estelledarlings,b'RT @SylviaObell: MONA ISSA (I\xe2\x80\x99m not sorry.) https://t.co/NXIWIrOyu8'
2019-03-25 21:10:12,estelledarlings,b'Make sure you\xe2\x80\x99re ready!!!! \xf0\x9f\x94\xa5\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbe\xf0\x9f\x94\xa5 https://t.co/ywt7pkJ1ls'
2019-03-25 21:06:23,estelledarlings,b'\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbe preciate you babe. You will have a time! https://t.co/kZvFB0QNs8'
2019-03-25 21:05:40,estelledarlings,b'You gotta look on the timeline and ig before asking some questions babe......sure do. Check the pinned tweet. https://t.co/7MEjkO8wXd'
2019-03-25 20:15:41,estelledarlings,b'NEW dates added to the #EstelleExperience tour. \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x92\x9b\xf0\x9f\x92\x9a #LoversRock \n\nGet tickets here: https://t.co/NIxS2kxCWs\n\nLas V\xe2\x80\xa6 https://t.co/vyK15nv7gS'
2019-03-25 16:44:19,estelledarlings,b'RT @UrbanRadio945: #UrbanVibes\xf0\x9f\x92\xaf\n\n\xf0\x9f\x8e\xa7 Meet Up || @EstelleDarlings x @MaleekBerry \n\n#UrbanFuse\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\n\nwith @QueenEqui \xf0\x9f\x98\x98\n\n#MoreMusicLessTalk \xf0\x9f\x8e\xb6#Urba\xe2\x80\xa6'
2019-03-25 16:43:52,estelledarlings,b'Yasssss https://t.co/1npei85TxD'
2019-03-25 02:02:51,estelledarlings,b'RT @JoelOsteen: God is not going to just deliver you
2019-03-25 09:01:00,estelledarlings,I’ve lived in my new spot since Feb 16th. I have 3 boxes left to unpack and a ton of shit to donate. I’m doing fine.
2019-03-25 08:00:00,estelledarlings,"God is not going to just deliver you; He’s not just going to bring you out. He’s going to endorse you. He’s going to put you in a position of greater prominence, where people see you honored, respected, and admired."
2019-03-25 07:10:14,estelledarlings,"
Can’t wait to meet "
2019-03-25 04:20:30,estelledarlings,Garnet as Storm. I can dig it.
2019-03-25 02:10:18,estelledarlings,"Oh yes, indeed!"
2019-03-25 06:03:48,jeanettejoy,b'@SatterKim @loveGoldenHeart @GiGiBclub @KariJoys @malekalby @PoloOrtiz9 @BethFratesMD @CherubNation @BabyGo2014\xe2\x80\xa6 https://t.co/rZKLuM88Xu'
2019-03-25 05:59:50,jeanettejoy,"b""In case you haven't seen this https://t.co/BE8cTHDAkS"""
2019-03-25 05:52:11,jeanettejoy,b'I learned that every mortal will taste death. But only some will taste life. -Rumi\n#JoyPublicity'
2019-03-25 05:35:11,jeanettejoy,"b'Nothing is, unless our thinking makes it so. -William Shakespeare\n#JoyPublicity #JoyPublications'"
2019-03-25 05:31:22,jeanettejoy,b'@NovakovichAmy Replying to @NovakovichAmy    \n I understand how my iPad thinks the Aurora Borealis is in my back ya\xe2\x80\xa6 https://t.co/ghAY2emBk4'
2019-03-25 05:19:51,jeanettejoy,b'@BryantCPA @BI_Forensic_CPA @marshawright @GiGiBclub @BarbaraLoraineN @SharedMotivati1 @JWPowerYourLife\xe2\x80\xa6 https://t.co/q8lKztUZHT'
2019-03-25 05:19:15,jeanettejoy,b'\xe2\x80\x9cIn the midst of happiness or despair in sorrow or in joy in pleasure or in pain: Do what is right and you will be\xe2\x80\xa6 https://t.co/51G9Met84n'
2019-03-25 05:17:59,jeanettejoy,b'@Gary_ARSC @CarmenAcai @LavaletteAstrid @spendharkar @OneCaringHeart1 @BethFratesMD @AuthorMBTosi @ADevotedYogi\xe2\x80\xa6 https://t.co/ptLQLrKhBa'
2019-03-25 05:16:29,jeanettejoy,"b""@eldiablo0786 I'm going through another Rumi phase. Everything is in the flow..."""
2019-03-25 05:15:48,jeanettejoy,"b""@eldiablo0786 I have a bad kitty. She's jealous of all these good cats."""
2019-03-25 05:15:04,jeanettejoy,"b""@eldiablo0786 Thank you @eldiablo0786! That's so nice for you to say."""
2019-03-25 05:09:54,jeanettejoy,b'@loveGoldenHeart @earthles77 @GiGiBclub @KariJoys @malekalby @PoloOrtiz9 @BethFratesMD @CherubNation @BabyGo2014\xe2\x80\xa6 https://t.co/raUpfKKxz9'
2019-03-25 05:02:26,jeanettejoy,b'@TibetanTerrier7 YES!'
2019-03-25 05:02:13,jeanettejoy,b'#JoyPublicity #JoyPublications\n \n\xe2\x80\x99Twas love whose finger traced aloud\n   A bow of promise on the cloud.\n        -Ma\xe2\x80\xa6 https://t.co/KhhYmHNV0F'
2019-03-25 05:01:59,jeanettejoy,b'RT @GiGiBclub: OFF TO THE PUBLISHER #FamilyTRAIN #JoyTrain #StarfishClub #GoldenHearts @coachmekat @b_and_s_designs @JaniceKobelsky @Prachi\xe2\x80\xa6'
2019-03-25 05:01:14,jeanettejoy,"b""@limit_nishiyama It's all what you believe it to be."""
2019-03-25 04:45:17,jeanettejoy,"b'""The question is not what you look at, but what you see.""\n-Henry David Thoreau\n#Writer'"
2019-03-25 04:28:13,jeanettejoy,b'130 #Cats https://t.co/SofxjYtp1s https://t.co/e4QsgROF8q'
2019-03-25 04:12:10,jeanettejoy,"b'\xe2\x80\x9cIn all that I saw, I was satisfied, for I could dance in the drops of water, laugh with the laps of joyous tears,\xe2\x80\xa6 https://t.co/hAo2Bkq5q6'"
2019-03-25 03:55:14,jeanettejoy,"b'I want to sing like the birds sing, not worrying about who hears or what they think. -Rumi\n#JoyPublicity'"
2019-03-25 03:38:14,jeanettejoy,b'79 #Dogs https://t.co/cYRFJhj3h3 https://t.co/segBF7iMBt'
2019-03-25 03:21:15,jeanettejoy,b'\xe2\x80\x9cOne must have sorrow to truly appreciate joy.\xe2\x80\x9d \n\xe2\x80\x95 Megan Hart\n#JoyPublicity'
2019-03-25 03:05:17,jeanettejoy,"b'#JoyPublicity #JoyPublications\n\nBe so BOLD, they can\xe2\x80\x99t ignore you. https://t.co/gO689dM1NM'"
2019-03-25 02:48:11,jeanettejoy,b'\xe2\x80\x9cPoetry is the spontaneous overflow of powerful feelings: it takes its origin from emotion recollected in tranquili\xe2\x80\xa6 https://t.co/Imz5NgEbOL'
2019-03-25 02:31:15,jeanettejoy,"b'Clean out your ears, don\xe2\x80\x99t listen for what you already know. -Rumi\n#JoyPublicity'"
2019-03-25 02:15:22,jeanettejoy,"b""\xe2\x80\x9cYou don't have to be in a perfect situation to be https://t.co/wdeK9cuW1u just have to feel at peace with the worl\xe2\x80\xa6 https://t.co/UaUihGnbib"""
2019-03-25 01:58:22,jeanettejoy,"b'""I never saw music in terms of men and women or black and white. There was just cool and uncool."" -Bonnie Raitt\n\n#Music\n#Musc'"
2019-03-25 01:41:11,jeanettejoy,b'\xe2\x80\x9cKeep Calm and Find Your Zen-ity\xe2\x80\x9d \n\xe2\x80\x95 Nanette Mathews\n\n \xe2\x98\x80\xef\xb8\x8f\n#JoyPublicity'
2019-03-25 01:24:15,jeanettejoy,"b'\xe2\x80\x9cFor awhile, I was left with nothing on the physical plane. I had no relationships, no job, no home, no socially de\xe2\x80\xa6 https://t.co/o27wpJmPeH'"
2019-03-25 01:08:19,jeanettejoy,b'#JoyPublicity #JoyPublications\n\nGive PEACE  a Chance https://t.co/EPIbFG6Bot'
2019-03-25 00:51:12,jeanettejoy,"b'Always search for your innermost nature in those you are with, as rose oil imbibes from roses. -Rumi\n#JoyPublicity'"
2019-03-25 00:34:13,jeanettejoy,"b'Anything that makes weak \xe2\x80\x93 physically, intellectually and spiritually, reject it as poison. -Swami Vivekananda\xe2\x80\xa6 https://t.co/AQPwZlvzfZ'"
2019-03-25 00:17:13,jeanettejoy,"b""\xe2\x80\x9cFor the philosopher is right who says that nothing is thicker than a knife's blade separates happiness from melanc\xe2\x80\xa6 https://t.co/q5WaEXuLj2"""
2019-03-25 00:01:40,jeanettejoy,"b'\xe2\x80\x9cThe most beautiful moments in life are moments when you are expressing your joy, not when you are seeking it.\xe2\x80\x9d \xe2\x80\x95 S\xe2\x80\xa6 https://t.co/yBXzJEgZ9X'"
2019-03-25 00:09:08,jeanettejoy, the sun rise in the east!
2019-03-25 03:10:12,jeanettejoy,Well that’s amazing! 
2019-03-25 04:10:19,jeanettejoy,"#Thanks, you too!"
2019-03-25 04:11:16,jeanettejoy,#SpreadLove! 
2019-03-25 04:12:49,jeanettejoy,#CoffeeLovers!
2019-03-25 04:12:30,jeanettejoy,Be #grateful!
2019-03-25 04:13:09,jeanettejoy,#Shine brightly! 
2019-03-25 04:14:12,jeanettejoy,Be #Amazing!
