created_at,screen_name,text,slot,document_topic
2019-03-25 19:01:00,TomHall,    FrankieTease SteeOne Oakland is in Northern California  east of San Francisco                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,142,10
2019-03-25 19:17:08,alyssa_milano,     amnestyusa ALWAYS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,143,8
2019-03-25 19:01:32,alyssa_milano,     RT KenidraRWoods_ My message to anyone out there dealing w a mental illness and contemplating suicide                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,143,6
2019-03-25 00:32:05,jade78052492,    BREAKING NEWS If the team was struggling or they needed him at some point next year and lets just say hypothetically Tom Brady gave him a call and said Ro I need you I wouldnt e shocked if he came ack to play a few games  Gronks agent                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,144,6
2019-03-25 19:00:48,mollie_Apso1,    RitaFinlay No never                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,145,7
2019-03-25 18:59:46,mollie_Apso1,    lakey_lola ertie_lakeland Thanks Lola                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ,145,2
2019-03-25 18:57:37,mollie_Apso1,    macsen_y_ci                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,145,7
2019-03-25 18:54:37,mollie_Apso1,    Ruedeladanse ertie_lakeland Thanks Isadora                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,145,2
2019-03-25 18:53:59,mollie_Apso1,    CakeTowers arkyairedale Oh yuss she couldnt e without flowers                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,145,8
2019-03-25 18:49:28,mollie_Apso1,    Now just who did this make me think of                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,145,8
2019-03-25 18:44:53,mollie_Apso1,    ArchieLakeland arkyairedale Yes they are Archie                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,145,4
2019-03-25 18:43:37,mollie_Apso1,    DavidWilding What a unch of numpties                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,145,6
2019-03-25 18:43:01,mollie_Apso1,    DavidWilding arkyairedale Thanks David                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,145,6
2019-03-25 18:42:38,mollie_Apso1,    gillgallagher arkyairedale Thankyou i dout it looks like that now                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,145,4
2019-03-25 18:33:08,mollie_Apso1,    jennystape                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,145,8
2019-03-25 18:31:23,mollie_Apso1,    arkyairedale Thankyou                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,145,4
2019-03-25 18:56:49,sagarsamy,    Mahnoorizhere aleenarathore TayyaMemon Mahnoor ye aap naa hi olein to acha he YKWIM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ,146,3
2019-03-25 18:53:49,sagarsamy,    RT ChalNaNikal                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,146,4
2019-03-25 18:52:14,sagarsamy,    ChalNaNikal  was love yarrr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,146,2
2019-03-25 18:50:51,sagarsamy,     hours ki travel journey is not a JOKE CC TayyaMemon                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,146,6
2019-03-25 18:44:59,sagarsamy,    RT alishahaha You are the CEO of your life Some people need to e hired and some need to e fired                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,146,8
2019-03-25 18:43:56,sagarsamy,    RT Anasstaciuss Appreciation tweet for Pakistan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,146,6
2019-03-25 18:56:50,sagarsamy,    RT heer_mano Bahria Town requests SC to make payments to Sindh govt as court tells NAB to refrain from initiating proe against realtor                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,146,8
2019-03-25 18:53:50,sagarsamy,    RT heer_mano  The Supreme Court SC on Thursday ordered the National Accountaility Bureau NAB to seek its permission efore filing a                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,146,9
2019-03-25 18:52:15,sagarsamy,    RT heer_mano The court had taken up implementation of its May   judgement in the case which held that the land grant to the MDA y                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,146,8
2019-03-25 18:50:52,sagarsamy,    RT heer_mano The land was granted to the MDA for launching an incremental housing sch ut instead of doing so the authority swapped                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,146,10
2019-03-25 18:44:60,sagarsamy,    RT Wkarachi Supreme Court reserved a great decision for the stakeholders of Bahria Town y accepting settlement amount of  illion w                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,146,7
2019-03-25 19:15:02,sagarsamy,    Celerations are eing done with full of zeal and enthusiasmThankYouSupremeCourt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,146,10
2019-03-25 18:56:50,sagarsamy,    It has rought smile on the faces of people ThankYouSupremeCourt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,146,7
2019-03-25 18:53:50,sagarsamy,    Everyody is appreciating CJPs decision ThankYouSupremeCourt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   ,146,7
2019-03-25 18:52:15,sagarsamy,    RT Wkarachi This Thursday was a quite lessed day for the people of Bahria Town Finally the issue of Bahria Town has een resolved Th                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,146,6
2019-03-25 18:50:52,sagarsamy,    RT muashirmahmood                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ,146,6
2019-03-25 19:16:39,sagarsamy,    After justice laours have gotten new hope for life ThankYouSupremeCourt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,146,7
2019-03-25 19:15:02,sagarsamy,    RT Noumaan The greatest gift of life is friendship and I have received itMondayMotivation                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,146,8
2019-03-25 18:56:50,sagarsamy,    RT cricketworldcup   March  Melourne World Cup FinalOnThisDay in  Pakistan won the World Cup                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,146,7
2019-03-25 18:53:50,sagarsamy,    RT peaceforchange Great memory                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,146,7
2019-03-25 18:52:15,sagarsamy,    DesiMountaineer JagoPakistan_ DunyaNews Great Saad hai                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,146,7
